Age,Gender,City,Occupation,Monthly_Income,Orders_Per_Week,Apps_Used,Delivery_Speed_Importance,Food_Quality_Importance,Willingness_Wait_Extra,Multi_Restaurant_Order,Diet_Preferences,Open_Personalized_Suggestions,Important_Features,Group_Order_Frequency,Spend_Per_Order,Max_Premium_Pay,Promotion_Motivation,Stopped_Using_App,Reason_Stopped,EcoFriendly_Packaging_Importance,Trust_AI_Recommendations,Comfortable_Sharing_Data,Emotional_Connection_App,Willingness_Try_App
38,Other,Kolkata,Employed - Part Time,20000-50000,3-5,Swiggy,4,2,4,No,No preference,Yes,"Ethical sourcing, Fresh food, Discounts",Sometimes,801-1200,400-600,Combo deals,No,NA,3,Yes,Yes,3,4
32,Female,Pune,Employed - Part Time,50001-80000,<1,Deliveroo,1,5,4,Yes,Vegan,No,"Fast delivery, Combo offers, Sustainability",Rarely,250-500,400-600,Cashback,Yes,Delayed Delivery,5,No,Yes,4,4
23,Female,Chennai,Employed - Full Time,80001-120000,>5,"Deliveroo, Talabat",5,5,3,Yes,Other,Yes,"Sustainability, Ethical sourcing, Fresh food",Often,250-500,400-600,Combo deals,Yes,High Cost,1,Yes,No,3,3
34,Female,Delhi,Self-employed,80001-120000,1-2,"Deliveroo, Uber Eats",5,4,3,Yes,Keto,Yes,"Combo offers, Sustainability, Fast delivery",Rarely,501-800,400-600,Cashback,Yes,Limited Food Choices,5,No,Yes,3,5
40,Male,Hyderabad,Self-employed,80001-120000,>5,"Talabat, Swiggy",3,4,2,Yes,Keto,Yes,"Fast delivery, Discounts, Fresh food",Sometimes,501-800,<400,Combo deals,Yes,Delayed Delivery,2,Maybe,Yes,4,4
35,Female,Pune,Student,20000-50000,3-5,Swiggy,3,5,4,Yes,Vegetarian,No,"Fresh food, Sustainability, Discounts",Rarely,501-800,400-600,Loyalty points,No,NA,4,Maybe,Yes,2,4
22,Female,Chennai,Student,20000-50000,<1,"Deliveroo, Zomato, Others",4,4,4,Yes,Vegan,Yes,"Sustainability, Combo offers, Discounts",Sometimes,250-500,400-600,Free delivery,No,NA,2,Yes,Yes,2,5
27,Female,Hyderabad,Self-employed,50001-80000,<1,Zomato,3,5,4,Yes,Vegetarian,No,"Combo offers, Sustainability, Ethical sourcing",Sometimes,501-800,801-1000,Free delivery,Yes,Poor Customer Service,5,Yes,No,3,5
36,Female,Hyderabad,Currently Unemployed,20000-50000,1-2,Swiggy,5,5,4,Yes,Vegetarian,Yes,"Combo offers, Ethical sourcing, Discounts",Rarely,250-500,400-600,Loyalty points,Yes,Delayed Delivery,2,No,Yes,3,2
26,Female,Delhi,Homemaker,<20000,1-2,Zomato,4,4,2,No,No preference,Yes,"Sustainability, Fast delivery, Fresh food",Rarely,>1200,400-600,Cashback,No,NA,5,No,No,5,2
32,Male,Delhi,Employed - Part Time,20000-50000,<1,"Uber Eats, Zomato, Swiggy",3,4,5,Yes,Vegetarian,Yes,"Combo offers, Ethical sourcing, Fresh food",Often,250-500,>1000,Combo deals,Yes,Limited Food Choices,4,Maybe,Yes,3,5
33,Male,Hyderabad,Homemaker,20000-50000,<1,"Deliveroo, Others",5,4,4,Yes,No preference,No,"Combo offers, Fresh food, Discounts",Often,501-800,400-600,Loyalty points,No,NA,5,No,Yes,4,5
25,Female,Mumbai,Employed - Part Time,20000-50000,1-2,Zomato,4,4,2,Yes,Vegetarian,No,"Fast delivery, Discounts, Ethical sourcing",Rarely,<250,400-600,Combo deals,No,NA,3,Yes,No,3,4
29,Male,Hyderabad,Self-employed,20000-50000,<1,Uber Eats,5,5,3,Yes,No preference,Yes,"Combo offers, Discounts, Sustainability",Rarely,250-500,400-600,Loyalty points,No,NA,4,Yes,Yes,1,4
18,Female,Pune,Student,20000-50000,<1,"Zomato, Uber Eats",5,4,4,Yes,Gluten-free,Yes,"Discounts, Fresh food, Fast delivery",Rarely,<250,601-800,Loyalty points,No,NA,5,Maybe,Yes,1,4
24,Female,Hyderabad,Currently Unemployed,<20000,1-2,Swiggy,3,5,5,No,Vegetarian,Yes,"Ethical sourcing, Fast delivery, Discounts",Rarely,250-500,400-600,Combo deals,Yes,Limited Food Choices,5,Maybe,Yes,2,3
28,Male,Bangalore,Student,50001-80000,<1,"Others, Swiggy, Zomato",1,4,3,Yes,Keto,Yes,"Fresh food, Fast delivery, Sustainability",Often,250-500,400-600,Free delivery,No,NA,4,Yes,No,2,5
23,Male,Kolkata,Homemaker,50001-80000,1-2,"Talabat, Zomato",5,4,4,Yes,Vegetarian,Yes,"Ethical sourcing, Sustainability, Discounts",Sometimes,501-800,601-800,Free delivery,Yes,Other,5,No,Yes,3,4
38,Female,Bangalore,Student,50001-80000,1-2,"Zomato, Swiggy, Deliveroo",5,2,1,Yes,Vegetarian,Yes,"Discounts, Ethical sourcing, Fresh food",Sometimes,<250,<400,Cashback,Yes,Poor Food Quality,2,Yes,No,3,5
22,Male,Bangalore,Self-employed,20000-50000,1-2,Uber Eats,2,1,1,Yes,Gluten-free,Yes,"Sustainability, Fast delivery, Discounts",Often,501-800,801-1000,Combo deals,Yes,Delayed Delivery,5,Yes,Yes,3,4
27,Female,Mumbai,Currently Unemployed,20000-50000,3-5,"Talabat, Zomato, Others",5,4,4,No,No preference,Yes,"Fresh food, Ethical sourcing, Fast delivery",Sometimes,<250,400-600,Cashback,No,NA,3,Yes,No,3,5
30,Male,Mumbai,Homemaker,50001-80000,1-2,"Others, Deliveroo, Talabat",4,4,4,Yes,No preference,Yes,"Fresh food, Combo offers, Sustainability",Sometimes,250-500,400-600,Loyalty points,Yes,Delayed Delivery,2,Maybe,Yes,2,3
37,Female,Hyderabad,Currently Unemployed,50001-80000,1-2,Others,3,5,4,No,Gluten-free,Yes,"Fresh food, Ethical sourcing, Fast delivery",Rarely,501-800,601-800,Cashback,Yes,Poor Customer Service,4,No,Yes,3,5
22,Male,Bangalore,Employed - Part Time,50001-80000,1-2,Others,5,5,3,No,Other,No,"Sustainability, Combo offers, Fresh food",Rarely,501-800,400-600,Loyalty points,No,NA,5,Maybe,Yes,3,5
35,Female,Mumbai,Student,20000-50000,3-5,"Swiggy, Talabat",3,4,1,No,No preference,Yes,"Discounts, Fast delivery, Sustainability",Sometimes,250-500,801-1000,Combo deals,No,NA,5,Maybe,No,5,4
30,Male,Delhi,Currently Unemployed,80001-120000,3-5,"Uber Eats, Deliveroo",5,4,3,Yes,No preference,Yes,"Combo offers, Fresh food, Sustainability",Rarely,<250,>1000,Combo deals,Yes,Poor Customer Service,4,Yes,No,5,4
25,Female,Hyderabad,Employed - Full Time,20000-50000,3-5,"Uber Eats, Talabat",3,4,1,Yes,Keto,Yes,"Fast delivery, Combo offers, Ethical sourcing",Rarely,501-800,400-600,Combo deals,No,NA,5,No,Yes,4,2
32,Male,Pune,Student,20000-50000,1-2,Uber Eats,4,4,1,Yes,Vegetarian,Yes,"Ethical sourcing, Fast delivery, Sustainability",Rarely,250-500,801-1000,Combo deals,Yes,High Cost,4,Maybe,Yes,4,4
30,Female,Kolkata,Employed - Part Time,50001-80000,<1,Uber Eats,3,4,3,Yes,Vegetarian,Yes,"Ethical sourcing, Combo offers, Fresh food",Rarely,250-500,<400,Cashback,No,NA,5,No,Yes,2,5
26,Female,Chennai,Currently Unemployed,50001-80000,1-2,"Swiggy, Others",4,4,3,No,No preference,Yes,"Fast delivery, Ethical sourcing, Sustainability",Sometimes,501-800,801-1000,Loyalty points,Yes,Limited Food Choices,1,No,Yes,1,3
30,Male,Hyderabad,Homemaker,20000-50000,<1,Deliveroo,4,4,3,No,Keto,Yes,"Combo offers, Sustainability, Ethical sourcing",Sometimes,250-500,400-600,Free delivery,No,NA,4,Yes,Yes,4,5
28,Male,Chennai,Employed - Part Time,20000-50000,3-5,"Talabat, Others",3,3,4,No,Vegetarian,No,"Sustainability, Ethical sourcing, Fast delivery",Rarely,<250,400-600,Combo deals,Yes,Poor Customer Service,2,No,Yes,3,4
30,Male,Bangalore,Employed - Full Time,50001-80000,1-2,"Deliveroo, Talabat",4,2,1,No,Keto,Yes,"Combo offers, Ethical sourcing, Fresh food",Rarely,801-1200,<400,Combo deals,No,NA,3,Yes,Yes,3,3
33,Female,Kolkata,Currently Unemployed,20000-50000,3-5,"Deliveroo, Uber Eats, Talabat",4,3,2,Yes,Vegan,Yes,"Sustainability, Fresh food, Combo offers",Sometimes,501-800,400-600,Loyalty points,Yes,Limited Food Choices,4,Yes,Yes,4,3
37,Female,Chennai,Retired,<20000,1-2,"Talabat, Uber Eats",2,5,4,Yes,No preference,No,"Ethical sourcing, Fast delivery, Combo offers",Rarely,<250,<400,Free delivery,Yes,High Cost,5,Yes,No,3,4
23,Female,Bangalore,Retired,20000-50000,3-5,"Talabat, Uber Eats, Swiggy",5,4,2,Yes,Vegan,Yes,"Fast delivery, Combo offers, Sustainability",Sometimes,250-500,801-1000,Combo deals,Yes,High Cost,4,Yes,Yes,2,2
40,Male,Delhi,Self-employed,80001-120000,1-2,"Others, Uber Eats, Zomato",3,4,4,No,No preference,Yes,"Discounts, Fast delivery, Combo offers",Sometimes,<250,801-1000,Free delivery,Yes,Poor Customer Service,5,Yes,Yes,2,5
20,Male,Chennai,Student,<20000,<1,"Zomato, Talabat, Swiggy",4,5,1,No,No preference,No,"Sustainability, Fast delivery, Fresh food",Rarely,501-800,<400,Combo deals,No,NA,5,Yes,Yes,1,4
29,Female,Kolkata,Homemaker,>120000,1-2,Swiggy,4,5,3,Yes,Vegetarian,Yes,"Discounts, Combo offers, Ethical sourcing",Sometimes,501-800,<400,Cashback,No,NA,3,Yes,Yes,4,4
32,Female,Hyderabad,Self-employed,50001-80000,1-2,Others,4,5,2,No,Gluten-free,Yes,"Ethical sourcing, Sustainability, Fast delivery",Sometimes,<250,801-1000,Cashback,No,NA,4,Yes,Yes,3,3
31,Prefer not to say,Bangalore,Currently Unemployed,>120000,1-2,"Deliveroo, Talabat",2,5,2,No,No preference,No,"Fast delivery, Fresh food, Discounts",Rarely,<250,400-600,Free delivery,No,NA,5,Yes,Yes,5,4
26,Male,Hyderabad,Retired,80001-120000,3-5,Zomato,3,2,4,No,Vegetarian,Yes,"Sustainability, Fresh food, Ethical sourcing",Rarely,<250,<400,Loyalty points,No,NA,5,Maybe,Yes,4,4
28,Female,Kolkata,Retired,20000-50000,<1,"Others, Talabat",4,5,5,No,Vegetarian,No,"Combo offers, Ethical sourcing, Fresh food",Often,250-500,400-600,Loyalty points,No,NA,5,Maybe,Yes,2,3
27,Male,Mumbai,Retired,20000-50000,1-2,"Uber Eats, Talabat, Deliveroo",4,5,1,Yes,Vegetarian,Yes,"Combo offers, Ethical sourcing, Fast delivery",Rarely,501-800,400-600,Cashback,Yes,Poor Customer Service,5,Maybe,No,2,4
27,Male,Bangalore,Currently Unemployed,20000-50000,1-2,"Talabat, Uber Eats",5,2,3,Yes,No preference,Yes,"Fast delivery, Ethical sourcing, Fresh food",Often,<250,<400,Loyalty points,No,NA,4,Maybe,Yes,3,5
34,Female,Chennai,Retired,20000-50000,1-2,"Others, Deliveroo, Swiggy",4,5,4,Yes,No preference,Yes,"Ethical sourcing, Discounts, Combo offers",Sometimes,250-500,601-800,Loyalty points,Yes,Other,5,Yes,Yes,5,2
31,Female,Bangalore,Employed - Part Time,50001-80000,3-5,"Others, Uber Eats, Zomato",2,5,3,Yes,Vegetarian,No,"Combo offers, Ethical sourcing, Sustainability",Rarely,250-500,400-600,Loyalty points,No,NA,3,Yes,No,2,4
26,Prefer not to say,Hyderabad,Currently Unemployed,20000-50000,3-5,"Zomato, Talabat, Uber Eats",3,4,4,Yes,Keto,Yes,"Fresh food, Fast delivery, Ethical sourcing",Rarely,250-500,<400,Free delivery,No,NA,3,Yes,Yes,4,5
34,Male,Delhi,Homemaker,20000-50000,3-5,"Talabat, Swiggy, Uber Eats",3,1,2,Yes,Vegetarian,Yes,"Fast delivery, Discounts, Combo offers",Sometimes,250-500,801-1000,Free delivery,No,NA,5,Maybe,Yes,3,1
31,Male,Bangalore,Self-employed,20000-50000,3-5,"Uber Eats, Others",2,2,5,No,No preference,Yes,"Discounts, Fast delivery, Fresh food",Sometimes,250-500,400-600,Loyalty points,No,NA,5,Maybe,Yes,2,5
34,Female,Chennai,Homemaker,80001-120000,3-5,"Talabat, Deliveroo, Uber Eats",3,4,3,Yes,Vegetarian,Yes,"Ethical sourcing, Combo offers, Fresh food",Sometimes,501-800,400-600,Cashback,Yes,Poor Food Quality,5,Yes,Yes,5,4
33,Female,Mumbai,Employed - Full Time,20000-50000,<1,"Uber Eats, Deliveroo, Zomato",3,3,3,No,No preference,No,"Sustainability, Fresh food, Combo offers",Often,>1200,<400,Loyalty points,No,NA,3,Yes,Yes,1,3
25,Male,Pune,Retired,<20000,3-5,"Uber Eats, Swiggy, Deliveroo",3,5,5,Yes,Keto,No,"Combo offers, Sustainability, Ethical sourcing",Often,801-1200,<400,Combo deals,No,NA,5,No,Yes,4,1
27,Male,Delhi,Employed - Full Time,<20000,1-2,"Zomato, Uber Eats",2,5,4,Yes,No preference,Yes,"Combo offers, Discounts, Sustainability",Rarely,250-500,400-600,Cashback,No,NA,5,Yes,No,1,2
33,Male,Mumbai,Student,80001-120000,<1,Swiggy,1,3,3,Yes,Gluten-free,No,"Fresh food, Fast delivery, Combo offers",Often,501-800,<400,Free delivery,No,NA,4,No,Yes,4,3
33,Female,Bangalore,Student,50001-80000,<1,"Uber Eats, Talabat",2,5,4,Yes,No preference,Yes,"Discounts, Fresh food, Sustainability",Often,>1200,400-600,Combo deals,No,NA,3,Maybe,Yes,4,1
29,Male,Hyderabad,Employed - Full Time,20000-50000,3-5,Uber Eats,3,4,4,Yes,Vegetarian,Yes,"Discounts, Ethical sourcing, Combo offers",Often,<250,<400,Loyalty points,No,NA,4,No,Yes,4,3
30,Male,Kolkata,Currently Unemployed,20000-50000,3-5,"Zomato, Uber Eats, Swiggy",3,3,2,Yes,No preference,Yes,"Combo offers, Fast delivery, Ethical sourcing",Sometimes,<250,601-800,Loyalty points,No,NA,4,Maybe,Yes,2,1
36,Male,Hyderabad,Homemaker,20000-50000,<1,"Talabat, Swiggy, Uber Eats",4,5,4,Yes,Keto,Yes,"Sustainability, Fast delivery, Fresh food",Sometimes,<250,601-800,Cashback,No,NA,4,Yes,Yes,2,4
27,Male,Chennai,Employed - Full Time,<20000,3-5,Zomato,2,5,2,Yes,Keto,Yes,"Discounts, Ethical sourcing, Sustainability",Sometimes,250-500,400-600,Cashback,No,NA,4,No,No,3,5
32,Male,Hyderabad,Student,80001-120000,3-5,"Zomato, Swiggy",3,5,4,Yes,Gluten-free,No,"Fast delivery, Combo offers, Ethical sourcing",Rarely,501-800,601-800,Loyalty points,No,NA,5,Maybe,No,2,5
28,Female,Delhi,Employed - Full Time,50001-80000,<1,Talabat,3,5,5,No,No preference,Yes,"Ethical sourcing, Sustainability, Discounts",Often,250-500,801-1000,Loyalty points,No,NA,3,No,Yes,3,4
28,Male,Hyderabad,Currently Unemployed,20000-50000,<1,"Talabat, Uber Eats",3,5,3,Yes,No preference,Yes,"Ethical sourcing, Combo offers, Fresh food",Rarely,250-500,400-600,Cashback,No,NA,4,No,Yes,3,5
35,Female,Chennai,Employed - Full Time,80001-120000,3-5,Others,1,5,3,Yes,Vegetarian,Yes,"Combo offers, Fresh food, Sustainability",Rarely,250-500,400-600,Combo deals,Yes,Delayed Delivery,4,Maybe,No,2,1
34,Male,Pune,Homemaker,20000-50000,1-2,"Zomato, Talabat, Deliveroo",4,4,1,No,No preference,No,"Sustainability, Combo offers, Fresh food",Often,<250,400-600,Free delivery,No,NA,3,Maybe,Yes,4,2
34,Female,Bangalore,Self-employed,50001-80000,1-2,Deliveroo,4,5,1,Yes,No preference,Yes,"Ethical sourcing, Combo offers, Fresh food",Rarely,250-500,801-1000,Cashback,No,NA,5,Yes,Yes,4,3
36,Female,Kolkata,Currently Unemployed,80001-120000,<1,Swiggy,3,5,5,No,No preference,Yes,"Fast delivery, Fresh food, Combo offers",Often,<250,<400,Combo deals,Yes,High Cost,3,Yes,Yes,5,5
30,Female,Bangalore,Student,20000-50000,1-2,"Deliveroo, Swiggy, Others",2,5,2,No,No preference,Yes,"Discounts, Fresh food, Sustainability",Sometimes,<250,400-600,Loyalty points,Yes,Limited Food Choices,4,Yes,No,3,5
33,Female,Hyderabad,Homemaker,50001-80000,3-5,"Uber Eats, Others, Zomato",5,3,3,No,No preference,Yes,"Ethical sourcing, Fresh food, Combo offers",Rarely,501-800,400-600,Free delivery,Yes,Delayed Delivery,5,Maybe,Yes,3,4
28,Male,Mumbai,Employed - Full Time,20000-50000,1-2,"Swiggy, Zomato",3,5,4,Yes,Vegetarian,Yes,"Discounts, Combo offers, Fast delivery",Sometimes,501-800,601-800,Combo deals,No,NA,2,Maybe,No,2,4
31,Male,Bangalore,Employed - Full Time,20000-50000,3-5,"Deliveroo, Others",3,5,5,No,No preference,Yes,"Ethical sourcing, Discounts, Fresh food",Sometimes,501-800,601-800,Free delivery,Yes,Other,5,Yes,Yes,2,4
29,Female,Pune,Self-employed,<20000,3-5,Others,5,3,3,No,No preference,Yes,"Fresh food, Combo offers, Discounts",Sometimes,501-800,400-600,Free delivery,No,NA,4,Yes,Yes,3,3
30,Prefer not to say,Hyderabad,Student,20000-50000,3-5,"Zomato, Uber Eats, Deliveroo",5,5,4,Yes,Other,No,"Fast delivery, Fresh food, Combo offers",Often,501-800,<400,Free delivery,No,NA,1,Maybe,Yes,5,4
32,Female,Kolkata,Student,50001-80000,1-2,"Zomato, Uber Eats, Others",3,3,4,Yes,Vegetarian,Yes,"Ethical sourcing, Fast delivery, Combo offers",Often,501-800,>1000,Combo deals,No,NA,5,Yes,Yes,1,4
25,Female,Chennai,Employed - Part Time,80001-120000,<1,Uber Eats,4,3,5,Yes,Vegan,Yes,"Discounts, Fast delivery, Fresh food",Rarely,501-800,<400,Combo deals,Yes,High Cost,1,Yes,No,2,2
40,Female,Pune,Student,50001-80000,1-2,Others,3,5,4,No,Vegan,Yes,"Fresh food, Discounts, Sustainability",Rarely,501-800,<400,Loyalty points,No,NA,4,Yes,Yes,1,1
24,Male,Hyderabad,Self-employed,80001-120000,<1,"Talabat, Uber Eats, Deliveroo",2,4,4,Yes,No preference,Yes,"Fast delivery, Sustainability, Ethical sourcing",Often,250-500,400-600,Free delivery,No,NA,1,Yes,Yes,2,5
23,Male,Pune,Retired,80001-120000,3-5,Zomato,4,3,1,No,No preference,Yes,"Combo offers, Fresh food, Sustainability",Sometimes,250-500,601-800,Cashback,Yes,Poor Food Quality,2,No,Yes,1,4
35,Female,Bangalore,Employed - Part Time,20000-50000,1-2,"Zomato, Uber Eats, Deliveroo",2,5,1,Yes,Vegan,No,"Sustainability, Combo offers, Fast delivery",Rarely,501-800,601-800,Cashback,No,NA,5,Yes,Yes,3,3
33,Female,Kolkata,Employed - Part Time,20000-50000,1-2,Zomato,3,5,4,No,No preference,No,"Sustainability, Fast delivery, Fresh food",Often,250-500,801-1000,Cashback,No,NA,5,No,Yes,3,4
33,Male,Chennai,Employed - Full Time,<20000,1-2,Deliveroo,5,3,5,Yes,No preference,Yes,"Ethical sourcing, Combo offers, Discounts",Often,250-500,<400,Combo deals,No,NA,3,Maybe,Yes,2,5
33,Female,Hyderabad,Employed - Full Time,50001-80000,3-5,"Uber Eats, Swiggy",5,5,5,Yes,No preference,Yes,"Combo offers, Discounts, Fast delivery",Sometimes,250-500,400-600,Loyalty points,No,NA,4,Yes,Yes,2,4
29,Male,Delhi,Student,80001-120000,3-5,"Others, Deliveroo",3,5,5,Yes,Vegetarian,Yes,"Fresh food, Discounts, Sustainability",Sometimes,250-500,400-600,Combo deals,Yes,Poor Food Quality,5,Yes,No,3,2
25,Female,Chennai,Employed - Part Time,<20000,1-2,"Uber Eats, Deliveroo, Talabat",4,5,3,Yes,No preference,Yes,"Fast delivery, Ethical sourcing, Sustainability",Sometimes,>1200,801-1000,Free delivery,Yes,Limited Food Choices,5,Maybe,Yes,3,4
30,Male,Delhi,Employed - Full Time,50001-80000,3-5,"Deliveroo, Others, Zomato",4,5,4,Yes,Vegan,Yes,"Combo offers, Sustainability, Fast delivery",Sometimes,250-500,400-600,Cashback,Yes,Poor Food Quality,4,Maybe,No,1,4
26,Male,Pune,Self-employed,50001-80000,1-2,"Swiggy, Uber Eats, Zomato",5,5,4,Yes,No preference,No,"Fast delivery, Combo offers, Ethical sourcing",Often,250-500,<400,Combo deals,No,NA,5,Yes,Yes,5,1
34,Female,Mumbai,Employed - Full Time,50001-80000,1-2,"Deliveroo, Zomato, Swiggy",3,4,4,Yes,Vegetarian,Yes,"Sustainability, Fast delivery, Fresh food",Often,<250,601-800,Cashback,No,NA,4,Yes,Yes,3,3
29,Male,Chennai,Currently Unemployed,20000-50000,3-5,"Talabat, Swiggy",1,4,3,No,Keto,No,"Discounts, Fast delivery, Sustainability",Sometimes,501-800,400-600,Combo deals,No,NA,5,Yes,Yes,3,4
25,Female,Pune,Currently Unemployed,20000-50000,1-2,"Talabat, Uber Eats, Zomato",3,5,3,No,No preference,Yes,"Fast delivery, Discounts, Sustainability",Sometimes,250-500,400-600,Cashback,Yes,Delayed Delivery,5,No,No,4,4
28,Female,Delhi,Employed - Full Time,<20000,>5,"Zomato, Others, Talabat",3,5,5,Yes,Vegetarian,No,"Sustainability, Fresh food, Combo offers",Often,501-800,801-1000,Free delivery,No,NA,3,Yes,Yes,3,3
32,Female,Bangalore,Employed - Part Time,20000-50000,<1,"Zomato, Swiggy, Others",3,3,3,Yes,Vegetarian,Yes,"Fresh food, Discounts, Fast delivery",Rarely,501-800,400-600,Cashback,No,NA,3,Yes,No,4,4
27,Male,Bangalore,Retired,<20000,<1,Swiggy,4,5,5,Yes,No preference,No,"Ethical sourcing, Fresh food, Combo offers",Rarely,250-500,<400,Free delivery,Yes,Other,3,Yes,Yes,5,5
25,Male,Mumbai,Retired,50001-80000,3-5,Zomato,4,5,2,No,Gluten-free,Yes,"Ethical sourcing, Sustainability, Discounts",Often,<250,400-600,Free delivery,No,NA,3,Maybe,Yes,2,5
31,Male,Chennai,Employed - Part Time,<20000,<1,Others,3,3,4,Yes,Gluten-free,Yes,"Sustainability, Ethical sourcing, Fresh food",Rarely,<250,400-600,Combo deals,No,NA,3,Yes,Yes,4,4
31,Prefer not to say,Chennai,Homemaker,80001-120000,>5,"Deliveroo, Others, Zomato",4,2,4,Yes,Vegetarian,No,"Fast delivery, Discounts, Combo offers",Rarely,501-800,<400,Combo deals,Yes,High Cost,5,No,Yes,2,4
27,Female,Chennai,Retired,50001-80000,>5,"Others, Deliveroo",2,4,4,Yes,Vegan,Yes,"Fresh food, Discounts, Sustainability",Rarely,501-800,601-800,Combo deals,Yes,Other,4,Yes,Yes,2,5
27,Female,Pune,Currently Unemployed,50001-80000,<1,"Swiggy, Uber Eats, Others",5,5,3,No,Keto,Yes,"Combo offers, Fast delivery, Discounts",Rarely,250-500,<400,Free delivery,Yes,Poor Customer Service,4,Yes,No,4,5
31,Female,Kolkata,Self-employed,20000-50000,1-2,"Talabat, Others, Zomato",5,3,5,Yes,Vegetarian,Yes,"Combo offers, Sustainability, Fast delivery",Rarely,<250,801-1000,Loyalty points,Yes,Poor Customer Service,4,No,No,5,5
22,Female,Kolkata,Employed - Part Time,50001-80000,<1,"Uber Eats, Others",5,4,4,No,No preference,Yes,"Combo offers, Sustainability, Ethical sourcing",Rarely,<250,<400,Loyalty points,No,NA,3,Maybe,No,4,3
22,Female,Mumbai,Student,80001-120000,1-2,Talabat,5,5,3,Yes,Vegan,Yes,"Discounts, Fresh food, Fast delivery",Often,501-800,400-600,Free delivery,Yes,Poor Food Quality,4,Maybe,No,2,1
26,Male,Chennai,Currently Unemployed,<20000,<1,"Uber Eats, Deliveroo",3,5,4,Yes,Keto,Yes,"Combo offers, Fast delivery, Sustainability",Sometimes,<250,400-600,Free delivery,Yes,Poor Food Quality,4,Maybe,No,3,5
28,Female,Pune,Self-employed,20000-50000,<1,"Zomato, Talabat, Others",1,4,3,Yes,Vegan,Yes,"Discounts, Ethical sourcing, Combo offers",Sometimes,<250,601-800,Combo deals,No,NA,2,Yes,No,3,5
31,Male,Bangalore,Self-employed,50001-80000,1-2,Talabat,4,4,3,Yes,Vegan,Yes,"Fresh food, Combo offers, Ethical sourcing",Rarely,250-500,400-600,Combo deals,Yes,High Cost,5,No,Yes,2,4
37,Female,Delhi,Employed - Part Time,<20000,1-2,Others,5,5,3,Yes,No preference,Yes,"Fresh food, Ethical sourcing, Combo offers",Sometimes,501-800,601-800,Combo deals,No,NA,4,Yes,Yes,5,5
34,Female,Pune,Self-employed,<20000,>5,"Zomato, Others",3,5,5,Yes,No preference,Yes,"Fast delivery, Discounts, Sustainability",Sometimes,501-800,601-800,Loyalty points,No,NA,5,Yes,Yes,3,5
29,Female,Kolkata,Employed - Part Time,20000-50000,3-5,"Deliveroo, Uber Eats",1,5,3,Yes,Vegan,No,"Fast delivery, Ethical sourcing, Discounts",Sometimes,250-500,801-1000,Loyalty points,No,NA,2,Maybe,Yes,2,4
29,Male,Kolkata,Retired,<20000,3-5,Talabat,5,5,4,Yes,Vegan,No,"Sustainability, Discounts, Fast delivery",Rarely,501-800,601-800,Free delivery,No,NA,5,Maybe,No,2,4
24,Male,Bangalore,Employed - Full Time,50001-80000,1-2,"Deliveroo, Swiggy, Zomato",2,4,3,Yes,Vegan,Yes,"Fresh food, Discounts, Fast delivery",Sometimes,250-500,<400,Loyalty points,Yes,Other,4,Maybe,Yes,3,4
29,Male,Bangalore,Currently Unemployed,20000-50000,3-5,"Uber Eats, Zomato, Swiggy",3,4,3,No,No preference,Yes,"Sustainability, Combo offers, Ethical sourcing",Often,>1200,601-800,Combo deals,No,NA,5,Maybe,Yes,4,4
28,Male,Delhi,Homemaker,80001-120000,1-2,Deliveroo,4,3,5,Yes,No preference,Yes,"Fast delivery, Combo offers, Sustainability",Sometimes,<250,801-1000,Combo deals,Yes,Poor Food Quality,4,Maybe,Yes,2,5
31,Male,Bangalore,Employed - Full Time,50001-80000,3-5,"Uber Eats, Swiggy",3,3,4,Yes,Vegan,Yes,"Discounts, Ethical sourcing, Fresh food",Sometimes,501-800,>1000,Combo deals,No,NA,5,Yes,Yes,4,4
25,Female,Mumbai,Currently Unemployed,50001-80000,>5,"Zomato, Swiggy, Others",2,5,5,Yes,Keto,Yes,"Ethical sourcing, Fresh food, Fast delivery",Sometimes,250-500,<400,Combo deals,No,NA,4,Maybe,Yes,2,5
32,Female,Delhi,Employed - Part Time,50001-80000,1-2,"Zomato, Others",4,4,2,Yes,No preference,Yes,"Fast delivery, Sustainability, Discounts",Sometimes,<250,400-600,Combo deals,Yes,Limited Food Choices,5,No,Yes,3,5
37,Male,Bangalore,Currently Unemployed,80001-120000,1-2,"Swiggy, Deliveroo, Talabat",4,4,2,Yes,No preference,Yes,"Fast delivery, Discounts, Combo offers",Sometimes,501-800,<400,Cashback,No,NA,5,Maybe,Yes,4,2
29,Male,Hyderabad,Retired,20000-50000,3-5,Swiggy,5,5,5,Yes,No preference,Yes,"Discounts, Fast delivery, Combo offers",Rarely,250-500,400-600,Free delivery,Yes,Other,5,No,Yes,2,2
32,Male,Pune,Employed - Part Time,80001-120000,3-5,"Talabat, Swiggy",3,3,4,Yes,Vegetarian,Yes,"Fast delivery, Fresh food, Ethical sourcing",Sometimes,250-500,601-800,Free delivery,No,NA,4,No,Yes,3,4
33,Female,Bangalore,Employed - Full Time,50001-80000,3-5,Zomato,2,3,2,Yes,Vegetarian,Yes,"Ethical sourcing, Combo offers, Fresh food",Often,250-500,>1000,Loyalty points,Yes,Limited Food Choices,3,Maybe,Yes,4,3
